,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)",Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),Net Official Development Assist. received (% of GNI),Labour force participation (female/male pop. %)-female,Labour force participation (female/male pop. %)-male,"Life expectancy at birth (females/males, years)-female","Life expectancy at birth (females/males, years)-male",Education: Primary gross enrol. ratio (f/m per 100 pop.)-female,Education: Primary gross enrol. ratio (f/m per 100 pop.)-male,Education: Secondary gross enrol. ratio (f/m per 100 pop.)-female,Education: Secondary gross enrol. ratio (f/m per 100 pop.)-male,Education: Tertiary gross enrol. ratio (f/m per 100 pop.)-female,Education: Tertiary gross enrol. ratio (f/m per 100 pop.)-male,"Population age distribution (0-14 / 60+ years, %)-0-14 years","Population age distribution (0-14 / 60+ years, %)-60+ years",International migrant stock (000/% of total pop.)-in thousands,International migrant stock (000/% of total pop.)-as % of total pop,CO2 emission estimates (million tons/tons per capita)-million tons,CO2 emission estimates (million tons/tons per capita)-tons per capita,"Pop. using improved drinking water (urban/rural, %)-Urban","Pop. using improved drinking water (urban/rural, %)-Rural","Pop. using improved sanitation facilities (urban/rural, %)-Urban","Pop. using improved sanitation facilities (urban/rural, %)-Rural",country,Region
162,8868,3663,413.0,92.6,102906,0.0,27939.0,0.8,50.0,49.1,2.0,17.5,80.5,12.8,110,111,-99,-99,-99,-99,-0.2,93.6,-0.2,1.5,-99.0,6.3,-99.0,-99.0,6.4,-99.0,87.1,79.5,126,55.5,1,16,-99.0,34.4,51.7,83.2,75.2,90.4,89.1,83.9,78.8,98.8,70.1,17.9,20.4,275.0,7.5,-99.0,-99.0,-99.0,-99.0,99.3,99.3,Puerto Rico,Caribbean
163,11607,2639,227.3,301.2,164641,3.6,73653.4,0.2,56.4,43.5,1.2,54.1,44.7,0.3,154,154,57254,32058,25196,13751,6.6,99.2,6.0,2.0,1.5,7.2,2.2,2.0,3.6,0.0,153.6,92.9,39,0.0,9166,846,-99.0,53.1,93.6,79.4,76.8,103.6,102.4,103.6,82.0,43.9,6.3,13.9,2.8,1687.6,75.5,107.9,49.7,100.0,100.0,98.0,98.0,Qatar,WesternAsia
164,100284,50982,524.3,100.2,1377873,2.6,27396.7,2.3,38.0,59.7,5.0,24.7,70.3,3.6,104,104,495418,406182,89236,105871,0.4,82.5,0.7,1.2,8.0,3.0,7.4,2.2,5.1,17.0,118.5,89.9,111,63.5,2023,223,-99.0,50.2,71.9,84.4,77.9,98.7,99.3,98.4,99.3,80.2,104.8,13.5,20.1,1327.3,2.6,587.2,11.7,99.7,87.9,100.0,100.0,Republic of Korea,EasternAsia
165,33846,4051,123.3,92.2,6475,-0.7,1591.4,13.4,20.8,65.8,28.8,30.9,40.3,5.0,109,109,2045,4020,-1975,-415,-0.1,45.0,-0.7,1.3,5.5,14.3,10.3,2.5,7.5,22.8,108.0,49.8,35,12.3,15,23,4.49,39.1,46.5,75.2,66.7,91.9,92.9,86.5,85.8,47.4,35.3,15.7,17.6,142.9,3.5,4.9,1.2,96.9,81.4,87.8,67.1,Republic of Moldova,EasternEurope
166,238391,19679,85.5,94.0,177956,3.7,9120.7,4.8,34.9,60.3,25.5,27.7,46.8,7.1,100,100,63581,74605,-11024,-2096,-0.6,54.6,0.0,1.5,3.2,8.7,5.6,2.7,3.1,20.7,107.1,55.8,104,29.5,1109,68,-99.0,47.3,64.5,78.4,71.4,89.0,90.5,92.0,92.5,59.0,47.8,15.3,24.9,226.9,1.2,70.0,3.6,100.0,100.0,92.2,63.3,Romania,EasternEurope
167,17098246,143990,8.8,86.8,1326016,-3.7,9243.3,4.7,31.8,63.5,6.8,27.1,66.1,5.8,120,120,285491,182257,103234,69000,0.1,74.0,-0.1,1.7,418.4,8.3,7.1,3.3,3.9,15.8,160.0,73.4,235,49.8,54829,208,-99.0,56.3,71.3,75.9,64.7,100.9,100.1,103.4,105.5,88.3,72.9,17.6,21.1,11643.3,8.1,1705.3,11.9,98.9,91.2,77.0,58.7,Russian Federation,EasternEurope
168,26338,12208,494.9,96.2,8096,6.9,697.3,34.6,15.1,50.3,75.0,7.2,17.8,2.4,139,139,622,1778,-1157,-1099,2.5,28.8,6.4,4.2,155.1,44.0,7.5,-99.0,3.6,61.3,70.5,18.0,62,19.2,84,8,13.67,86.1,83.3,67.1,63.1,133.4,131.7,38.2,35.2,6.9,9.1,40.1,4.9,441.5,3.8,0.8,0.1,86.6,71.9,58.5,62.9,Rwanda,EasternAfrica
169,308,4,10.4,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,0,48,-48,-99,-0.7,39.4,-0.6,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,30.7,37.6,100,5.1,0,41,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.6,15.2,0.0,3.1,-99.0,-99.0,-99.0,-99.0,Saint Helena,WesternAfrica
170,261,55,212.9,97.0,876,3.8,15771.9,1.2,28.1,70.7,-99.0,-99.0,-99.0,-99.0,39,39,51,332,-280,-63,1.1,32.0,1.3,-99.0,0.0,-99.0,5.1,-99.0,2.8,13.3,131.8,75.7,52,42.3,0,59,3.93,-99.0,-99.0,-99.0,-99.0,83.4,81.7,92.8,88.0,107.2,52.6,-99.0,-99.0,7.4,13.4,0.2,4.2,98.3,98.3,-99.0,-99.0,Saint Kitts and Nevis,Caribbean
171,539,179,293.2,95.9,1450,1.9,7839.4,2.7,12.9,84.4,14.8,17.6,67.6,19.0,69,69,120,654,-535,-100,0.5,18.5,0.9,1.5,0.0,10.9,6.7,-99.0,4.9,16.7,101.5,52.4,62,33.4,0,33,0.97,63.1,76.6,77.6,72.2,-99.0,-99.0,84.8,85.5,22.0,11.6,18.9,13.7,12.8,6.9,0.4,2.2,99.5,95.6,84.7,91.9,Saint Lucia,Caribbean
172,242,6,27.5,98.2,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,112,112,653,2629,-1976,-99,0.0,90.4,0.1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,12,12.3,0,174,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0,15.7,0.1,12.2,-99.0,-99.0,-99.0,-99.0,Saint Pierre and Miquelon,NorthernAmerica
173,389,110,281.8,101.7,738,1.6,6739.2,7.5,17.2,75.3,22.1,16.1,61.8,19.1,115,115,47,335,-288,-210,0.0,50.6,0.7,2.0,-99.0,16.5,8.6,-99.0,-99.0,13.0,103.6,51.8,58,69.2,0,29,1.8,56.4,76.9,74.9,70.7,103.2,105.8,105.0,107.9,-99.0,-99.0,23.8,11.7,4.6,4.2,0.2,1.9,95.1,95.1,-99.0,-99.0,Saint Vincent and the Grenadines,Caribbean
174,2842,196,69.4,106.6,774,2.8,4006.0,9.3,24.2,66.6,5.3,14.8,79.8,6.5,107,107,56,350,-294,-44,0.8,19.1,-0.2,4.2,0.0,18.0,7.2,-99.0,-99.0,10.0,58.5,25.4,93,60.4,2,24,12.75,23.3,58.2,77.4,71.1,106.7,106.7,89.5,80.7,-99.0,-99.0,36.6,8.5,4.9,2.6,0.2,1.0,97.5,99.3,93.3,91.1,Samoa,Polynesia
175,61,33,556.7,94.9,1565,1.0,49240.2,0.1,33.3,66.6,-99.0,-99.0,-99.0,6.6,-99,-99,-99,-99,-99,-99,1.2,94.2,0.6,-99.0,-99.0,-99.0,6.1,6.4,2.4,26.7,115.2,49.6,1,0.0,-99,-99,-99.0,-99.0,-99.0,86.4,81.7,92.6,93.9,95.9,93.5,69.9,50.5,15.0,24.1,4.7,14.8,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,San Marino,SouthernEurope
176,964,204,212.8,99.2,334,4.0,1752.8,12.3,14.7,73.0,22.2,13.5,64.3,13.6,119,119,10,139,-129,-69,2.2,65.1,3.6,4.7,-99.0,43.8,8.1,-99.0,3.8,18.2,65.1,25.8,94,55.8,1,14,12.39,45.4,76.2,68.2,64.0,112.2,117.7,91.7,80.8,13.6,13.2,42.8,4.3,2.4,1.3,0.1,0.6,98.9,93.6,40.8,23.3,Sao Tome and Principe,MiddleAfrica
177,2206714,32938,15.3,132.9,653219,3.4,20710.6,2.3,46.0,51.8,5.9,22.7,71.4,5.5,96,96,182329,135904,46426,-56724,2.8,83.1,2.1,2.7,70.2,13.0,4.7,2.6,-99.0,19.9,176.6,69.6,131,0.5,25904,287,-99.0,20.0,78.5,75.6,72.7,111.1,107.9,93.7,122.6,61.8,64.4,25.2,5.6,10185.9,32.3,601.0,19.5,97.0,97.0,100.0,100.0,Saudi Arabia,WesternAsia
178,196712,15851,82.3,96.6,13633,6.5,901.1,15.5,24.1,60.4,51.4,20.7,27.9,9.3,126,127,2640,5478,-2838,-1348,3.0,43.7,3.6,5.0,17.6,43.9,4.7,-99.0,7.4,42.7,100.0,21.7,123,43.2,77,11,6.49,45.3,70.5,67.5,63.8,86.9,77.6,49.1,50.2,7.8,12.9,42.9,4.7,263.2,1.7,8.9,0.6,92.9,67.3,65.4,33.8,Senegal,WesternAfrica
179,88499,8791,100.5,95.6,37160,0.8,5238.6,8.2,31.4,60.5,19.4,24.5,56.1,15.5,102,102,14852,19231,-4379,-1751,-0.4,55.6,-0.3,1.6,254.1,9.8,10.4,2.5,4.2,34.4,120.5,65.3,71,31.1,393,62,0.9,43.4,59.9,77.5,71.8,101.2,101.5,97.4,96.0,66.9,50.2,16.5,24.5,807.4,9.1,37.7,4.3,99.4,98.9,98.2,94.2,Serbia,SouthernEurope
180,457,95,206.0,97.2,1363,6.8,14133.2,2.7,13.6,83.8,3.6,17.9,78.2,4.1,105,109,335,833,-498,-256,0.5,53.9,1.1,2.4,-99.0,10.2,3.4,1.0,3.6,21.2,158.1,58.1,439,88.4,0,72,0.5,61.9,68.3,77.9,68.7,103.6,101.1,84.5,78.8,19.6,9.3,22.2,13.3,12.8,13.3,0.5,5.2,95.7,95.7,98.4,98.4,Seychelles,EasternAfrica
181,72300,7557,104.7,98.1,4483,-20.3,694.8,51.4,17.6,31.1,68.0,6.5,25.5,3.1,168,168,466,958,-492,-1317,2.3,39.9,2.7,4.8,0.8,94.4,11.1,-99.0,2.7,12.4,89.5,2.5,177,41.3,53,11,21.56,65.1,68.8,50.7,49.6,128.2,127.0,40.1,46.5,-99.0,-99.0,42.1,4.2,91.2,1.4,1.3,0.2,84.9,47.8,22.8,6.9,Sierra Leone,WesternAfrica
182,719,5709,8155.5,97.7,292734,2.0,52239.0,0.0,26.4,73.6,0.3,17.0,82.6,2.0,112,112,329871,283009,46862,57922,1.7,100.0,2.0,1.2,0.0,2.1,4.9,1.9,2.9,23.8,146.1,82.1,293,23.1,27,209,-99.0,57.8,76.1,84.5,80.1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,15.0,19.5,2543.6,45.4,56.4,10.2,100.0,-99.0,100.0,-99.0,Singapore,South-easternAsia
183,34,40,1180.0,95.7,1094,0.5,28241.7,0.1,12.3,87.6,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,23,3.1,100.0,2.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,51,-99.0,-99,303,-99.0,-99.0,-99.0,77.1,69.2,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,21.0,10.4,27.3,70.4,0.7,19.5,-99.0,-99.0,-99.0,-99.0,Sint Maarten (Dutch part),Caribbean
184,49035,5448,113.3,94.6,87268,3.8,16082.5,3.7,34.8,61.5,3.3,34.5,62.2,9.9,97,97,77565,75156,2409,193,0.1,53.6,-0.3,1.4,2.7,5.7,8.1,3.4,4.2,20.0,122.3,85.0,54,40.3,264,121,-99.0,51.4,68.0,79.8,72.6,99.2,100.2,92.8,92.1,64.6,41.8,15.4,21.8,177.2,3.3,30.7,5.6,100.0,100.0,99.4,98.2,Slovakia,EasternEurope
185,20273,2080,103.3,98.6,42777,2.3,20689.8,2.4,32.7,64.9,8.9,29.6,61.5,8.1,89,89,27585,26646,939,2216,0.3,49.7,0.1,1.6,0.6,2.5,9.2,2.8,5.5,36.7,113.2,73.1,143,62.0,154,135,-99.0,51.8,62.2,83.2,77.2,99.4,99.2,110.5,110.8,98.5,68.2,15.0,26.3,236.0,11.4,12.8,6.2,99.7,99.4,99.1,99.1,Slovenia,SouthernEurope
186,28896,611,21.8,103.4,1075,3.2,1841.6,28.2,15.6,56.3,48.1,2.4,49.5,31.4,118,118,437,454,-17,-36,2.1,22.3,4.2,4.1,0.0,30.0,5.1,0.2,-99.0,2.0,72.7,10.0,245,78.3,3,11,16.47,61.1,73.5,71.1,68.3,113.6,115.0,47.0,49.8,-99.0,-99.0,38.8,5.4,2.6,0.4,0.2,0.4,93.2,77.2,81.4,15.0,Solomon Islands,Melanesia
187,637657,14742,23.5,99.3,1559,2.7,144.5,60.2,7.4,32.5,72.0,4.8,23.2,6.6,112,112,925,530,394,-99,2.9,39.6,4.1,6.6,1168.4,79.5,-99.0,0.0,-99.0,24.2,52.5,1.8,175,10.3,129,12,22.85,33.3,75.9,56.5,53.3,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,46.4,4.4,25.3,0.2,0.6,0.1,69.6,8.8,52.0,6.3,Somalia,EasternAfrica
188,1221037,56717,46.8,96.4,314571,1.3,5773.0,2.4,28.9,68.7,6.1,26.2,67.7,26.0,125,126,74111,74744,-633,-13644,1.4,64.8,1.6,2.6,1201.9,36.5,8.8,0.8,6.0,42.2,159.3,51.9,581,7.6,7102,122,0.47,46.4,61.1,63.0,56.1,97.3,102.2,111.5,88.0,23.3,15.7,29.0,8.4,3142.5,5.8,489.8,9.1,99.6,81.4,69.6,60.5,South Africa,SouthernAfrica
189,658841,12576,20.6,100.4,13167,2.0,1067.0,4.6,58.0,37.4,-99.0,-99.0,-99.0,-99.0,-99,-99,2389,750,1640,-935,3.3,18.8,5.1,5.2,2231.2,77.7,2.7,-99.0,1.8,28.5,23.9,17.9,49,-99.0,337,2,21.07,-99.0,-99.0,56.0,54.1,53.1,74.9,6.6,12.3,-99.0,-99.0,41.7,5.1,824.1,6.7,1.5,0.1,66.7,56.9,16.4,4.5,South Sudan,EasternAfrica
190,505944,46354,92.9,96.2,1192955,3.2,25865.4,2.6,23.6,73.7,3.9,19.2,76.8,18.3,102,102,281777,302539,-20762,16208,-0.2,79.6,0.7,1.3,28.8,2.9,9.0,3.8,4.3,39.1,107.9,78.7,617,36.8,1432,102,-99.0,52.1,64.2,85.3,79.6,105.6,104.5,129.6,130.0,97.1,82.5,14.7,25.3,5853.0,12.7,234.0,5.1,100.0,100.0,99.8,100.0,Spain,SouthernEurope
191,65610,20877,332.9,92.5,82316,4.8,3973.7,8.7,30.7,60.6,27.4,25.9,46.6,5.2,120,122,10546,19501,-8955,-2009,0.5,18.4,0.8,2.1,44.2,8.2,3.5,-99.0,2.2,5.8,112.8,30.0,587,33.1,179,20,0.53,30.4,75.0,78.0,71.2,100.6,102.7,102.0,97.5,24.0,15.6,24.0,14.9,38.7,0.2,18.4,0.9,98.5,95.0,88.1,96.7,Sri Lanka,SouthernAsia
192,6020,4921,817.4,102.9,12677,3.5,2715.5,4.8,23.4,71.9,8.7,29.8,61.5,24.2,90,90,929,5058,-4128,-1713,2.7,75.3,2.8,4.2,0.0,20.0,-99.0,-99.0,1.3,-99.0,77.6,57.4,31,1.5,9,15,17.52,18.4,69.7,74.8,71.1,94.3,94.4,87.0,79.2,54.4,34.5,39.6,4.6,255.5,5.5,2.8,0.6,50.7,81.5,93.0,90.2,State of Palestine,WesternAsia
193,-99,40533,23.0,99.9,79546,4.9,1977.0,32.4,20.1,47.6,32.9,20.4,46.7,13.4,-99,-99,1797,7658,-5861,-5933,2.3,33.8,2.5,4.8,3619.6,48.7,8.4,3.1,-99.0,30.5,70.5,26.6,133,-99.0,682,16,1.09,24.4,72.2,65.1,62.1,66.6,74.1,41.5,43.9,16.8,15.8,40.8,5.5,503.5,1.3,15.4,0.4,-99.0,-99.0,-99.0,-99.0,Sudan,NorthernAfrica
194,163820,563,3.6,100.7,4879,-2.7,8985.3,11.4,27.4,61.1,3.4,22.3,74.3,9.9,152,152,1437,1244,193,-808,1.0,66.0,0.8,2.5,0.0,17.4,5.7,-99.0,-99.0,25.5,180.7,42.8,83,98.3,44,62,0.32,40.5,68.6,74.2,67.8,121.4,124.2,90.9,71.7,-99.0,-99.0,26.4,10.4,46.8,8.6,2.0,3.7,98.1,88.4,88.4,61.4,Suriname,SouthAmerica
195,17363,1367,79.5,93.9,4133,1.7,3211.7,6.6,42.1,51.3,22.0,17.0,61.0,25.1,114,115,1881,733,1149,281,1.8,21.3,1.3,3.3,1.1,56.3,9.3,-99.0,7.0,6.2,73.2,30.4,34,33.8,39,40,2.39,40.6,65.1,58.2,51.6,108.0,117.5,65.8,66.2,5.5,5.2,37.2,4.8,31.6,2.5,1.2,1.0,93.6,68.9,63.1,56.0,Swaziland,SouthernAfrica
196,438574,9911,24.2,100.2,495694,4.1,50687.5,1.3,26.3,72.4,1.8,18.2,79.9,7.3,100,100,139574,140838,-1263,23250,0.8,85.8,0.8,1.9,348.5,2.4,11.9,4.1,7.7,43.6,130.4,90.6,54,68.9,1428,206,-99.0,60.7,68.0,83.7,80.0,125.6,120.6,150.0,131.5,75.7,49.6,17.5,25.5,1639.8,16.8,43.4,4.5,100.0,100.0,99.2,99.6,Sweden,NorthernEurope
197,41291,8476,214.5,98.2,670790,0.8,80831.1,0.7,25.5,73.8,3.5,20.4,76.1,4.6,106,106,304691,269157,35534,77378,1.2,73.9,1.1,1.5,110.1,3.9,11.7,4.1,5.1,32.5,142.0,88.0,74,31.6,552,126,-99.0,62.5,74.5,84.8,80.5,103.8,104.1,99.4,103.0,58.5,56.9,14.9,24.1,2438.7,29.4,35.3,4.3,100.0,100.0,99.9,99.8,Switzerland,WesternEurope
198,185180,18270,99.5,102.1,28393,-5.3,1534.5,20.7,30.0,49.3,18.5,39.2,42.3,13.8,65,68,1265,2383,-1118,-99,-2.3,57.7,1.4,3.1,6768.5,17.9,3.3,1.5,-99.0,13.2,62.4,30.0,132,2.7,237,24,-99.0,12.4,70.9,76.3,64.4,78.7,81.4,50.5,50.5,47.0,41.3,36.6,6.8,875.2,4.7,30.7,1.7,92.3,87.2,96.2,95.1,Syrian Arab Republic,WesternAsia
199,142600,8921,63.7,100.9,7853,4.2,925.9,25.0,28.0,47.1,57.2,13.4,29.4,10.8,155,172,899,3030,-2132,-472,2.2,26.8,2.6,3.5,21.8,38.9,6.9,1.7,5.2,19.0,98.6,19.0,45,3.0,76,14,4.55,59.6,77.9,73.5,67.7,101.2,99.8,83.1,92.5,24.0,33.6,35.3,5.8,275.1,3.2,5.2,0.6,93.1,66.7,93.8,95.5,Tajikistan,CentralAsia
200,513120,69038,135.1,95.2,395168,2.8,5814.8,9.1,35.7,55.1,34.0,22.7,43.3,0.6,129,126,213927,195666,18260,32149,0.4,50.4,3.0,1.5,554.1,11.2,4.1,-99.0,4.1,4.9,125.8,39.3,611,32.0,3338,83,0.02,62.7,79.8,78.4,70.8,99.2,106.1,125.3,132.6,57.3,40.5,17.3,16.9,3913.3,5.8,316.2,4.7,97.6,98.0,89.9,96.1,Thailand,South-easternAsia
201,25713,2083,82.6,100.0,10052,3.8,4836.1,12.0,27.9,65.1,16.2,29.2,54.5,27.3,111,112,4785,6757,-1972,-204,0.1,57.1,0.1,1.5,1.4,9.0,6.5,2.8,-99.0,31.7,105.4,70.4,110,39.6,53,53,2.18,43.9,67.8,77.2,73.2,92.8,93.6,78.2,80.3,46.8,37.5,16.7,19.5,130.7,6.3,7.5,3.6,99.8,98.9,97.2,82.6,The former Yugoslav Republic of Macedonia,SouthernEurope
202,14919,1296,87.2,103.2,2873,4.3,2425.4,5.2,79.9,14.9,50.8,2.0,47.2,4.3,111,117,94,647,-553,238,2.2,32.8,3.8,5.9,0.0,43.9,1.5,0.1,7.8,38.5,117.4,13.4,24,46.9,143,7,8.89,26.9,55.6,69.5,66.1,136.2,137.5,79.6,74.1,-99.0,-99.0,43.6,5.4,10.8,0.9,0.5,0.4,95.2,60.5,69.0,26.8,Timor-Leste,South-easternAsia
203,56785,7798,143.4,99.4,4086,5.5,559.4,45.7,19.7,34.6,62.5,8.7,28.7,6.8,140,143,715,1716,-1001,-461,2.6,40.0,3.8,4.7,13.8,55.7,5.2,-99.0,5.2,17.6,65.0,7.1,80,3.8,111,20,5.51,81.0,80.7,59.8,58.3,118.5,125.1,-99.0,-99.0,6.4,14.9,41.6,4.6,276.8,3.8,2.6,0.4,91.4,44.2,24.7,2.9,Togo,WesternAfrica
204,12,1,130.0,100.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,112,112,0,1,-1,-99,1.9,0.0,0.0,2.1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,49,0.0,-99,-99,-99.0,-99.0,-99.0,-99.0,-99.0,114.3,121.0,120.7,129.1,-99.0,-99.0,28.3,12.2,0.5,39.0,-99.0,-99.0,-99.0,100.0,-99.0,90.5,Tokelau,Polynesia
205,747,108,150.0,100.7,402,3.8,3784.5,22.4,21.5,56.1,33.3,28.2,38.5,4.8,134,134,14,209,-196,-33,0.4,23.7,0.7,3.8,-99.0,20.6,5.2,-99.0,-99.0,3.8,65.6,45.0,79,12.5,0,15,18.3,52.9,73.9,75.6,69.6,107.5,108.6,94.2,86.4,-99.0,-99.0,35.8,8.5,5.7,5.4,0.1,1.1,99.7,99.6,97.6,89.0,Tonga,Polynesia
206,5127,1369,266.9,97.1,25927,0.2,19062.9,0.5,42.5,57.0,4.1,31.6,64.3,4.2,95,95,4576,4826,-249,-99,0.5,8.4,-1.2,1.8,0.2,24.8,5.9,-99.0,-99.0,31.0,157.7,69.2,69,45.4,1663,607,-99.0,52.4,73.2,73.8,66.9,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,20.7,15.0,49.9,3.7,46.3,34.2,95.1,95.1,91.5,91.5,Trinidad and Tobago,Caribbean
207,163610,11532,74.2,97.6,41199,0.8,3660.9,10.3,27.8,62.0,11.7,29.4,58.9,14.6,108,108,13483,19456,-5973,-3850,1.2,66.8,1.4,2.3,0.7,18.5,7.0,1.6,6.3,31.3,129.9,48.5,96,6.6,274,39,1.14,25.1,71.3,77.1,73.0,112.5,115.8,94.2,90.0,43.3,26.2,24.0,12.3,56.7,0.5,28.8,2.6,100.0,93.2,97.4,79.8,Tunisia,NorthernAfrica
208,783562,80745,104.9,97.0,717888,4.0,9125.8,8.6,26.4,65.0,19.6,27.5,52.9,10.8,120,122,142606,198602,-55996,-32278,1.6,73.4,2.0,2.1,3006.3,12.6,5.4,1.7,4.8,14.9,96.0,53.7,388,15.1,1303,65,0.3,30.4,71.4,78.1,71.5,102.1,102.8,101.1,103.8,88.3,101.0,25.0,12.0,2964.9,3.8,346.0,4.5,100.0,100.0,98.3,85.5,Turkey,WesternAsia
209,488100,5758,12.3,97.0,37597,6.5,6996.7,13.4,51.0,35.6,17.9,37.4,44.7,8.6,103,109,3741,2616,1125,-99,1.8,50.0,1.9,3.0,7.2,46.9,2.1,2.3,3.1,25.8,145.9,15.0,54,8.8,3270,212,0.07,47.3,77.7,70.8,63.9,88.6,90.1,83.7,86.9,6.2,9.7,30.9,7.3,196.4,3.7,68.4,12.9,-99.0,-99.0,-99.0,-99.0,Turkmenistan,CentralAsia
210,948,35,37.3,104.1,863,4.1,25121.8,0.6,10.4,89.0,-99.0,-99.0,-99.0,-99.0,-99,-99,4,389,-385,-99,2.0,92.2,2.5,-99.0,0.0,-99.0,-99.0,-99.0,3.3,-99.0,-99.0,-99.0,60,36.2,0,86,-99.0,-99.0,-99.0,77.8,75.8,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,19.2,7.6,11.7,34.0,0.2,6.1,-99.0,-99.0,-99.0,-99.0,Turks and Caicos Islands,Caribbean
211,26,11,373.1,102.0,33,3.5,3362.4,26.0,7.6,66.4,-99.0,-99.0,-99.0,-99.0,110,110,0,12,-12,7,0.9,59.7,1.9,3.6,-99.0,-99.0,16.5,-99.0,-99.0,6.7,40.3,42.7,96,33.3,-99,13,63.52,-99.0,-99.0,-99.0,-99.0,104.3,103.0,97.5,76.0,-99.0,-99.0,31.1,9.9,0.1,1.4,0.0,-99.0,98.3,97.0,86.3,80.2,Tuvalu,Polynesia
212,241550,42863,214.5,99.0,25282,5.4,647.7,25.6,21.5,52.9,72.0,7.4,20.5,2.4,93,90,2755,3750,-996,-2353,3.4,16.1,5.4,5.9,727.1,60.2,7.2,-99.0,2.2,34.3,50.4,19.2,196,11.0,409,12,6.35,82.3,87.7,60.7,56.5,110.9,108.9,22.1,24.3,4.2,5.4,47.7,3.3,749.5,1.9,5.2,0.1,95.5,75.8,28.5,17.3,Uganda,EasternAfrica
213,603500,44223,76.3,86.0,90615,-9.9,2021.6,14.0,26.3,59.7,15.7,24.6,59.7,8.8,137,137,36369,39184,-2815,-189,-0.5,69.7,-0.3,1.5,1644.8,8.8,7.1,3.0,5.9,12.3,144.0,49.3,102,16.6,3203,98,1.63,52.3,67.5,76.0,66.1,105.1,102.8,98.2,100.2,88.4,76.5,15.5,23.2,4834.9,10.8,227.3,5.1,95.5,97.8,97.4,92.6,Ukraine,EasternEurope
214,83600,9400,112.4,262.4,370296,3.8,40438.8,0.7,44.9,54.4,3.5,21.1,75.4,3.7,70,70,195613,201908,-6296,-99,2.0,85.5,2.9,1.8,1.3,6.2,3.6,1.6,-99.0,20.0,187.4,91.2,56,3.8,8642,366,-99.0,41.7,90.8,78.2,76.0,116.0,116.7,-99.0,-99.0,-99.0,-99.0,13.9,2.4,8095.1,88.4,211.4,23.2,99.6,100.0,98.0,95.2,United Arab Emirates,WesternAsia
215,242495,66182,273.6,97.4,2858003,2.2,44162.4,0.7,19.4,79.9,1.2,18.4,80.4,5.0,108,108,415856,635570,-219713,-122571,0.6,82.6,0.9,1.9,151.7,4.1,9.1,2.8,5.7,30.0,125.8,92.0,102,12.9,4482,116,-99.0,57.0,68.6,82.8,79.0,108.1,108.4,130.4,125.3,64.1,49.0,17.7,23.9,8543.1,13.2,419.8,6.5,100.0,100.0,99.1,99.6,United Kingdom,NorthernEurope
