,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)",Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),Net Official Development Assist. received (% of GNI),Labour force participation (female/male pop. %)-female,Labour force participation (female/male pop. %)-male,"Life expectancy at birth (females/males, years)-female","Life expectancy at birth (females/males, years)-male",Education: Primary gross enrol. ratio (f/m per 100 pop.)-female,Education: Primary gross enrol. ratio (f/m per 100 pop.)-male,Education: Secondary gross enrol. ratio (f/m per 100 pop.)-female,Education: Secondary gross enrol. ratio (f/m per 100 pop.)-male,Education: Tertiary gross enrol. ratio (f/m per 100 pop.)-female,Education: Tertiary gross enrol. ratio (f/m per 100 pop.)-male,"Population age distribution (0-14 / 60+ years, %)-0-14 years","Population age distribution (0-14 / 60+ years, %)-60+ years",International migrant stock (000/% of total pop.)-in thousands,International migrant stock (000/% of total pop.)-as % of total pop,CO2 emission estimates (million tons/tons per capita)-million tons,CO2 emission estimates (million tons/tons per capita)-tons per capita,"Pop. using improved drinking water (urban/rural, %)-Urban","Pop. using improved drinking water (urban/rural, %)-Rural","Pop. using improved sanitation facilities (urban/rural, %)-Urban","Pop. using improved sanitation facilities (urban/rural, %)-Rural",country,Region
41,180,165,870.1,98.4,-99,-99.0,-99.0,-99.0,-99.0,-99.0,5.0,24.5,70.5,8.7,-99,-99,-99,-99,-99,-99,0.5,31.5,0.8,1.5,-99.0,7.9,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,4.2,-99,-99,-99.0,49.9,65.4,82.4,78.7,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,14.5,24.5,82.3,50.3,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,Channel Islands,NorthernEurope
42,756102,18055,24.3,98.2,240796,2.3,13416.2,3.9,32.8,63.3,9.6,22.9,67.5,6.8,111,111,59884,58804,1080,-4761,0.9,89.5,1.1,1.8,3.7,7.4,7.8,-99.0,4.9,15.8,129.5,64.3,197,23.4,540,85,0.02,50.7,74.7,81.3,76.2,100.0,103.3,101.3,100.0,94.4,83.0,20.3,16.0,469.4,2.6,82.6,4.7,99.7,93.3,100.0,90.9,Chile,SouthAmerica
43,1106,7365,7014.2,85.1,309236,2.4,42431.0,0.1,7.2,92.7,0.2,14.9,84.9,3.5,34,34,516588,547124,-30536,10101,0.6,100.0,0.7,1.2,2.5,1.6,-99.0,-99.0,3.3,-99.0,228.8,84.9,64,-99.0,-99,83,-99.0,52.6,67.8,86.4,80.5,-99.0,-99.0,98.8,102.8,73.7,63.5,11.5,23.5,2838.7,38.9,46.2,6.4,-99.0,-99.0,-99.0,-99.0,"China, Hong Kong SAR",EasternAsia
44,30,623,20821.6,92.3,46178,-20.3,78586.4,-99.0,6.6,93.4,0.3,17.7,82.1,3.2,86,86,1257,8924,-7668,11557,2.3,100.0,1.8,1.2,0.0,3.0,-99.0,-99.0,2.0,-99.0,324.4,77.6,11,-99.0,2,62,-99.0,65.6,76.4,86.2,80.3,99.7,101.1,95.9,97.0,86.3,65.2,13.3,16.1,342.7,58.3,1.3,2.2,-99.0,-99.0,-99.0,-99.0,"China, Macao SAR",EasternAsia
45,9600000,1409517,150.1,106.3,11158457,6.9,8109.1,9.2,41.1,49.7,27.0,23.9,49.1,4.6,132,133,2118981,1588696,530285,330602,0.5,55.6,3.0,1.6,301.7,11.6,5.5,1.5,-99.0,23.7,93.2,50.3,1080,22.0,101394,87,0.0,63.0,77.7,77.2,74.2,104.3,104.0,95.6,93.2,47.3,39.9,17.7,16.2,978.0,0.1,10291.9,7.5,97.5,93.0,86.6,63.7,China,EasternAsia
46,1141748,49066,44.2,96.8,292080,3.1,6056.1,6.8,34.0,59.2,13.5,16.6,69.9,10.5,114,115,31045,44831,-13786,-18922,1.0,76.4,1.7,1.9,7127.0,17.9,7.2,-99.0,4.5,18.7,115.7,55.9,835,52.8,5380,31,0.47,58.0,79.8,77.4,70.2,111.6,115.4,101.5,94.8,59.9,51.5,23.5,11.6,133.1,0.3,84.1,1.8,96.8,73.8,85.2,67.9,Colombia,SouthAmerica
47,2235,814,437.4,101.8,1079,4.8,1368.9,30.7,4.0,65.3,62.0,5.2,32.8,20.0,107,107,20,193,-173,-99,2.4,28.3,2.7,4.6,-99.0,58.1,6.7,-99.0,4.3,6.1,54.8,7.5,114,20.1,3,6,12.05,35.7,79.5,64.5,61.2,99.5,106.8,62.4,58.4,8.0,9.8,39.8,4.9,12.6,1.6,0.2,0.2,92.6,89.1,48.3,30.9,Comoros,EasternAfrica
48,342000,5261,15.4,100.1,8493,1.2,1838.1,4.7,70.0,25.3,40.7,25.8,33.5,11.5,106,106,2540,9793,-7253,-99,2.6,65.4,3.2,4.9,54.9,46.5,5.2,-99.0,-99.0,7.4,111.7,7.6,134,65.4,648,24,1.05,67.1,72.6,64.1,61.0,114.8,107.0,50.6,58.4,8.3,11.1,42.3,5.2,393.0,8.5,3.1,0.7,95.8,40.0,20.0,5.6,Congo,MiddleAfrica
49,236,17,72.4,97.4,294,5.5,14118.7,8.1,9.0,82.9,4.3,11.7,84.0,8.2,91,91,14,98,-84,-99,-1.2,74.5,0.9,2.6,-99.0,3.6,3.4,-99.0,3.9,-99.0,-99.0,-99.0,75,62.9,-99,48,-99.0,65.4,76.6,79.6,71.7,99.3,106.0,90.1,83.0,49.5,40.1,26.9,14.2,4.2,19.9,0.1,3.4,99.9,99.9,97.6,97.6,Cook Islands,Polynesia
50,51100,4906,96.1,100.1,52958,3.7,11015.0,5.1,21.5,73.4,11.6,19.1,69.3,8.6,127,129,9908,15322,-5414,-2493,1.1,76.8,2.7,1.9,10.1,9.3,9.3,1.2,7.2,35.1,150.7,59.8,340,53.4,110,44,0.22,46.9,76.5,81.7,76.7,109.5,110.1,125.6,120.7,60.9,46.6,21.6,13.6,421.7,8.8,7.8,1.6,99.6,91.9,95.2,92.3,Costa Rica,CentralAmerica
51,56594,4189,74.9,93.1,48676,1.6,11479.4,4.1,26.6,69.3,9.2,26.8,64.0,11.7,91,91,13648,21830,-8182,2492,-0.4,59.0,0.1,1.5,15.5,3.9,7.8,3.1,4.6,19.9,103.8,69.8,176,34.3,182,79,-99.0,46.3,58.4,80.4,73.6,98.1,97.8,100.6,95.9,79.8,58.8,14.7,26.8,576.9,13.6,16.8,4.0,99.6,99.7,97.8,95.8,Croatia,SouthernEurope
